,UDI,Product ID,Type,Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Normalized_air_temp,Normalized_process_temp,Power [W],Machine failure Labelled
2674,2675,L49854,L,1546,37.2,6,0,0,0,0,0,0,299.6951094349902,299.5244700898004,6022.5536936,No Failure
2675,2676,L49855,L,1574,35.8,8,0,0,0,0,0,0,299.6951094349902,299.5244700898004,5900.869440933333,No Failure
2676,2677,L49856,L,1592,34.2,10,0,0,0,0,0,0,299.6951094349902,299.5244700898004,5701.6088592000015,No Failure
2677,2678,L49857,L,1495,39.6,12,0,0,0,0,0,0,299.7950965025171,299.6592651207544,6199.613706,No Failure
2678,2679,L49858,L,1447,43.1,14,0,0,0,0,0,0,299.7950965025171,299.7266626362314,6530.9153154333335,No Failure
2679,2680,L49859,L,1476,44.4,16,0,0,0,0,0,0,299.7950965025171,299.6592651207544,6862.740523199999,No Failure
2680,2681,L49860,L,1641,27.1,18,0,0,0,0,0,0,299.7950965025171,299.6592651207544,4656.998768300001,No Failure
2681,2682,L49861,L,1545,32.2,20,0,0,0,0,0,0,299.7950965025171,299.6592651207544,5209.698697000001,No Failure
2682,2683,M17542,M,1364,44.4,23,0,0,0,0,0,0,299.895083570044,299.7266626362314,6341.990564799999,HDF
2683,2684,L49863,L,1590,28.5,25,0,0,0,0,0,0,299.7950965025171,299.6592651207544,4745.371695,No Failure
2684,2685,L49864,L,1460,37.4,27,0,0,0,0,0,0,299.7950965025171,299.59186760527734,5718.1126786666655,No Failure
2685,2686,L49865,L,1609,32.5,29,0,0,0,0,0,0,299.7950965025171,299.59186760527734,5476.0531691666665,No Failure
2686,2687,L49866,L,1633,27.5,31,0,0,0,0,0,0,299.7950965025171,299.59186760527734,4702.698430833332,No Failure
2687,2688,L49867,L,1348,52.8,33,0,0,0,0,0,0,299.895083570044,299.59186760527734,7453.359443199999,HDF
2688,2689,L49868,L,1322,53.9,35,0,0,0,0,0,0,299.895083570044,299.59186760527734,7461.883624066667,HDF
2689,2690,L49869,L,1641,30.1,37,0,0,0,0,0,0,299.9950706375709,299.6592651207544,5172.533687300001,No Failure
2690,2691,L49870,L,1728,26.0,39,0,0,0,0,0,0,299.9950706375709,299.6592651207544,4704.845184,No Failure
2691,2692,L49871,L,1431,47.7,41,0,0,0,0,0,0,299.9950706375709,299.7266626362314,7148.0283111,No Failure
2692,2693,L49872,L,1641,30.4,43,0,0,0,0,0,0,300.0950577050979,299.79406015170844,5224.0871792,No Failure
2693,2694,M17553,M,1622,36.1,46,0,0,0,0,0,0,300.0950577050979,299.7266626362314,6131.776305933334,No Failure
2694,2695,M17554,M,1625,38.0,49,0,0,0,0,0,0,300.0950577050979,299.7266626362314,6466.439416666666,No Failure
2695,2696,L49875,L,1869,22.7,51,0,0,0,0,0,0,299.9950706375709,299.6592651207544,4442.8679939,No Failure
2696,2697,L49876,L,1452,46.0,53,0,0,0,0,0,0,299.9950706375709,299.7266626362314,6994.435976,No Failure
2697,2698,L49877,L,1618,28.7,55,0,0,0,0,0,0,299.9950706375709,299.7266626362314,4862.825273133332,No Failure
2698,2699,L49878,L,2010,20.0,57,0,0,0,0,0,0,299.9950706375709,299.59186760527734,4209.7306,No Failure
2699,2700,L49879,L,1363,60.9,59,0,0,0,0,0,0,299.895083570044,299.59186760527734,8692.4339551,HDF
2700,2701,L49880,L,1473,40.4,61,0,0,0,0,0,0,299.895083570044,299.5244700898004,6231.7835876,No Failure
2701,2702,L49881,L,1333,50.8,63,0,0,0,0,0,0,299.895083570044,299.4570725743233,7091.238835866665,HDF
2702,2703,L49882,L,1760,25.9,65,0,0,0,0,0,0,299.7950965025171,299.4570725743233,4773.541285333333,No Failure
2703,2704,M17563,M,1372,58.2,68,0,0,0,0,0,0,299.7950965025171,299.4570725743233,8361.907271200002,HDF
2704,2705,M17564,M,1608,34.4,71,0,0,0,0,0,0,299.6951094349902,299.4570725743233,5792.5893056,No Failure
2705,2706,L49885,L,1326,64.8,73,0,0,0,0,0,0,299.6951094349902,299.4570725743233,8998.016414400001,HDF
2706,2707,M17566,M,1560,37.1,76,0,0,0,0,0,0,299.59512236746326,299.3896750588464,6060.755428,No Failure
2707,2708,M17567,M,1539,36.1,79,0,0,0,0,0,0,299.59512236746326,299.3222775433693,5818.004768700001,No Failure
2709,2710,L49889,L,1641,35.8,83,0,0,0,0,0,0,299.59512236746326,299.3896750588464,6152.0500334,No Failure
2710,2711,L49890,L,1574,39.2,85,0,0,0,0,0,0,299.59512236746326,299.3896750588464,6461.287209066667,No Failure
2711,2712,L49891,L,1407,50.6,87,0,0,0,0,0,0,299.59512236746326,299.3896750588464,7455.432892600001,No Failure
2712,2713,H32126,H,1302,55.5,92,0,0,0,0,0,0,299.6951094349902,299.4570725743233,7567.147832999999,HDF
2713,2714,M17573,M,1651,30.8,95,0,0,0,0,0,0,299.59512236746326,299.4570725743233,5325.078825733333,No Failure
2714,2715,M17574,M,1366,55.2,98,0,0,0,0,0,0,299.59512236746326,299.3896750588464,7896.197969600001,HDF
2715,2716,M17575,M,1701,28.6,101,0,0,0,0,0,0,299.49513529993635,299.3222775433693,5094.4651758,No Failure
2716,2717,L49896,L,1498,44.6,103,0,0,0,0,0,0,299.49513529993635,299.3222775433693,6996.404705733334,No Failure
2717,2718,M17577,M,1422,45.3,106,0,0,0,0,0,0,299.49513529993635,299.3896750588464,6745.684879799999,No Failure
2718,2719,L49898,L,1357,47.3,108,0,0,0,0,0,0,299.49513529993635,299.3896750588464,6721.546996633333,HDF
2719,2720,L49899,L,1690,29.2,110,0,0,0,0,0,0,299.49513529993635,299.4570725743233,5167.706110666666,No Failure
2720,2721,L49900,L,1559,39.1,112,0,0,0,0,0,0,299.59512236746326,299.4570725743233,6383.386249033333,No Failure
2721,2722,M17581,M,1553,32.4,115,0,0,0,0,0,0,299.59512236746326,299.5244700898004,5269.2004116,No Failure
2722,2723,L49902,L,1558,34.8,117,0,0,0,0,0,0,299.59512236746326,299.5244700898004,5677.732775199999,No Failure
2723,2724,L49903,L,1362,51.9,119,0,0,0,0,0,0,299.6951094349902,299.59186760527734,7402.4028534,HDF
2724,2725,M17584,M,1470,42.7,122,0,0,0,0,0,0,299.7950965025171,299.5244700898004,6573.148757,No Failure
2725,2726,L49905,L,1555,34.8,124,0,0,0,0,0,0,299.7950965025171,299.59186760527734,5666.800041999999,No Failure
2726,2727,M17586,M,1423,42.9,127,0,0,0,0,0,0,299.7950965025171,299.59186760527734,6392.7900751,No Failure
2727,2728,L49907,L,1434,38.5,129,0,0,0,0,0,0,299.6951094349902,299.5244700898004,5781.468077,No Failure
2728,2729,L49908,L,1779,25.5,131,0,0,0,0,0,0,299.6951094349902,299.5244700898004,4750.5553185,No Failure
2729,2730,L49909,L,1417,54.6,133,0,0,0,0,0,0,299.6951094349902,299.5244700898004,8101.9721146,No Failure
2730,2731,L49910,L,1425,45.9,135,0,0,0,0,0,0,299.59512236746326,299.4570725743233,6849.451597499999,No Failure
2731,2732,M17591,M,1597,32.9,138,0,0,0,0,0,0,299.6951094349902,299.4570725743233,5502.107422233334,No Failure
2732,2733,L49912,L,1346,57.4,140,0,0,0,0,0,0,299.6951094349902,299.4570725743233,8090.683334533333,HDF
2733,2734,L49913,L,1422,40.4,142,0,0,0,0,0,0,299.6951094349902,299.4570725743233,6016.019186399999,No Failure
2734,2735,H32148,H,1572,32.8,147,0,0,0,0,0,0,299.6951094349902,299.4570725743233,5399.513564799999,No Failure
2735,2736,L49915,L,1412,45.4,149,0,0,0,0,0,0,299.6951094349902,299.4570725743233,6713.033287733333,No Failure
2736,2737,M17596,M,1576,36.4,152,0,0,0,0,0,0,299.6951094349902,299.3896750588464,6007.390285866666,No Failure
2737,2738,M17597,M,1508,41.2,155,0,0,0,0,0,0,299.6951094349902,299.3896750588464,6506.191002133334,No Failure
2738,2739,M17598,M,1496,44.4,158,0,0,0,0,0,0,299.7950965025171,299.3896750588464,6955.731587199999,No Failure
2739,2740,L49919,L,1572,35.4,160,0,0,0,0,0,0,299.7950965025171,299.4570725743233,5827.523786399998,No Failure
2740,2741,L49920,L,1525,42.8,162,0,0,0,0,0,0,299.59512236746326,299.3222775433693,6835.052643333333,No Failure
2741,2742,L49921,L,1378,51.9,164,0,0,0,0,0,0,299.59512236746326,299.3222775433693,7489.362064600001,HDF
2742,2743,L49922,L,1369,51.4,166,0,0,0,0,0,0,299.59512236746326,299.3896750588464,7368.766896466666,HDF
2743,2744,L49923,L,1476,45.3,168,0,0,0,0,0,0,299.59512236746326,299.3896750588464,7001.850128399999,No Failure
2744,2745,L49924,L,1620,30.0,170,0,0,0,0,0,0,299.6951094349902,299.4570725743233,5089.3758,No Failure
2745,2746,M17605,M,1603,38.5,173,0,0,0,0,0,0,299.6951094349902,299.3896750588464,6462.826588166667,No Failure
2746,2747,L49926,L,1411,46.1,175,0,0,0,0,0,0,299.6951094349902,299.4570725743233,6811.710629633333,No Failure
2747,2748,L49927,L,1616,31.6,177,0,0,0,0,0,0,299.6951094349902,299.4570725743233,5347.572610133333,No Failure
2748,2749,L49928,L,1631,35.1,179,0,0,0,0,0,0,299.6951094349902,299.4570725743233,5995.0019493,No Failure
2749,2750,M17609,M,1685,28.9,182,1,0,0,0,0,0,299.6951094349902,299.4570725743233,5099.481247833332,No Failure
2750,2751,H32164,H,1456,40.6,187,0,0,0,0,0,0,299.6951094349902,299.4570725743233,6190.356487466667,No Failure
2751,2752,L49931,L,1417,50.1,189,0,0,0,0,0,0,299.6951094349902,299.3896750588464,7434.2271601,No Failure
2752,2753,M17612,M,1851,24.7,192,0,0,0,0,0,0,299.6951094349902,299.3896750588464,4787.7517441,No Failure
2753,2754,L49933,L,1715,27.8,194,0,0,0,0,0,0,299.6951094349902,299.3896750588464,4992.719547666667,No Failure
2754,2755,H32168,H,1630,32.3,199,0,0,0,0,0,0,299.59512236746326,299.3896750588464,5513.3857303333325,No Failure
2755,2756,L49935,L,1478,38.8,201,0,0,0,0,0,0,299.6951094349902,299.4570725743233,6005.295892533333,TWF
2756,2757,L49936,L,1781,29.6,203,0,0,0,0,0,0,299.6951094349902,299.4570725743233,5520.5694994666665,TWF
2757,2758,L49937,L,1439,36.1,205,0,0,0,0,0,0,299.7950965025171,299.4570725743233,5439.966772033335,TWF
2758,2759,M17618,M,1412,45.3,208,0,0,0,0,0,0,299.6951094349902,299.4570725743233,6698.2468708,TWF
2759,2760,L49939,L,1483,41.1,210,0,0,0,0,0,0,299.6951094349902,299.3896750588464,6382.7998189,TWF
2760,2761,L49940,L,1400,42.6,212,0,0,0,0,0,0,299.7950965025171,299.4570725743233,6245.48092,TWF
2761,2762,L49941,L,1299,65.1,214,1,0,0,0,1,0,299.7950965025171,299.5244700898004,8855.608139699998,"TWF, HDF, OSF"
2762,2763,L49942,L,1479,44.4,216,0,0,0,0,0,0,299.7950965025171,299.4570725743233,6876.689182800001,TWF
2763,2764,L49943,L,1491,47.5,218,0,0,0,0,0,0,299.7950965025171,299.4570725743233,7416.5085924999985,TWF
2764,2765,M17624,M,1389,52.8,3,0,0,0,0,0,0,299.895083570044,299.5244700898004,7680.056577599999,No Failure
2765,2766,M17625,M,1399,54.8,6,0,0,0,0,0,0,299.895083570044,299.59186760527734,8028.354188933332,No Failure
2766,2767,M17626,M,1889,26.0,9,0,0,0,0,0,0,299.895083570044,299.59186760527734,5143.2017086666665,No Failure
2767,2768,L49947,L,1925,21.9,11,0,0,0,0,0,0,299.9950706375709,299.6592651207544,4414.7193475,No Failure
2768,2769,L49948,L,1675,30.2,13,0,0,0,0,0,0,299.9950706375709,299.6592651207544,5297.244338333333,No Failure
2769,2770,M17629,M,1477,38.1,16,0,0,0,0,0,0,299.9950706375709,299.7266626362314,5892.963106099999,No Failure
2770,2771,L49950,L,1364,45.9,18,0,0,0,0,0,0,299.9950706375709,299.7266626362314,6556.247002799999,HDF
2771,2772,L49951,L,1451,39.4,20,0,0,0,0,0,0,299.895083570044,299.6592651207544,5986.760511533333,No Failure
2772,2773,L49952,L,1467,41.2,22,0,0,0,0,0,0,299.895083570044,299.59186760527734,6329.298541200001,No Failure
2773,2774,L49953,L,1858,22.5,24,0,0,0,0,0,0,299.895083570044,299.59186760527734,4377.805665,No Failure
2774,2775,L49954,L,1559,39.7,26,0,0,0,0,0,0,300.0950577050979,299.59186760527734,6481.341025233333,No Failure
2775,2776,L49955,L,1560,47.7,28,0,0,0,0,0,0,300.0950577050979,299.59186760527734,7792.399836000001,No Failure
2776,2777,L49956,L,1453,47.6,30,0,0,0,0,0,0,300.0950577050979,299.59186760527734,7242.705361733334,No Failure
2777,2778,L49957,L,1464,41.7,32,0,0,0,0,0,0,300.0950577050979,299.59186760527734,6393.009986400001,No Failure
2778,2779,L49958,L,1308,50.2,34,0,0,0,0,0,0,299.9950706375709,299.59186760527734,6876.0608648,HDF
2779,2780,L49959,L,1353,50.9,36,0,0,0,0,0,0,300.0950577050979,299.6592651207544,7211.8025880999985,HDF
2780,2781,M17640,M,1556,35.8,39,0,0,0,0,0,0,300.1950447726247,299.7266626362314,5833.388087733333,No Failure
2782,2783,M17642,M,1491,41.8,44,0,0,0,0,0,0,300.1950447726247,299.7266626362314,6526.527561399998,No Failure
2783,2784,M17643,M,1528,35.1,47,0,0,0,0,0,0,300.1950447726247,299.7266626362314,5616.4089384,No Failure
2784,2785,L49964,L,1430,52.7,49,0,0,0,0,0,0,300.1950447726247,299.7266626362314,7891.778799666667,No Failure
2785,2786,L49965,L,1495,32.6,51,0,0,0,0,0,0,300.1950447726247,299.6592651207544,5103.722394333334,No Failure
2786,2787,M17646,M,1630,28.3,54,0,0,0,0,0,0,300.1950447726247,299.6592651207544,4830.6135036666665,No Failure
2787,2788,M17647,M,1524,38.4,57,0,0,0,0,0,0,300.2950318401517,299.7266626362314,6128.3624448,No Failure
2788,2789,L49968,L,1326,52.4,59,0,0,0,0,0,0,300.2950318401517,299.7266626362314,7276.173767200001,HDF
2789,2790,H32203,H,1438,44.0,64,0,0,0,0,0,0,300.2950318401517,299.6592651207544,6625.822749333333,No Failure
2790,2791,L49970,L,1356,45.9,66,0,0,0,0,0,0,300.39501890767855,299.7266626362314,6517.7939412,HDF
2791,2792,H32205,H,1416,43.3,71,0,0,0,0,0,0,300.39501890767855,299.7266626362314,6420.655978399998,No Failure
2792,2793,L49972,L,1584,32.6,73,0,0,0,0,0,0,300.39501890767855,299.79406015170844,5407.556035199999,No Failure
2793,2794,L49973,L,1597,31.8,75,0,0,0,0,0,0,300.2950318401517,299.7266626362314,5318.146383800001,No Failure
2794,2795,L49974,L,1553,43.9,77,0,0,0,0,0,0,300.39501890767855,299.7266626362314,7139.441298433333,No Failure
2795,2796,M17655,M,1405,49.4,80,0,0,0,0,0,0,300.2950318401517,299.6592651207544,7268.277904333332,No Failure
2796,2797,L49976,L,1539,35.3,82,0,0,0,0,0,0,300.1950447726247,299.6592651207544,5689.0739151,No Failure
2797,2798,M17657,M,1398,53.7,85,0,0,0,0,0,0,300.2950318401517,299.7266626362314,7861.577647800002,No Failure
2798,2799,L49978,L,1568,39.6,87,0,0,0,0,0,0,300.2950318401517,299.7266626362314,6502.3373184,No Failure
2799,2800,L49979,L,1404,44.6,89,0,0,0,0,0,0,300.2950318401517,299.7266626362314,6557.3779752,No Failure
2800,2801,M17660,M,1500,45.7,92,0,0,0,0,0,0,300.1950447726247,299.6592651207544,7178.53315,No Failure
2801,2802,M17661,M,1642,28.8,95,0,0,0,0,0,0,300.1950447726247,299.6592651207544,4952.1511488,No Failure
2802,2803,M17662,M,1509,46.6,98,0,0,0,0,0,0,300.2950318401517,299.7266626362314,7363.8241282,No Failure
2803,2804,L49983,L,1343,50.2,100,0,0,0,0,0,0,300.1950447726247,299.6592651207544,7060.053319133333,HDF
2804,2805,L49984,L,1450,40.1,102,0,0,0,0,0,0,300.0950577050979,299.6592651207544,6088.925018333333,No Failure
2805,2806,L49985,L,1460,43.5,104,0,0,0,0,0,0,299.9950706375709,299.59186760527734,6650.746029999999,No Failure
2806,2807,L49986,L,1364,41.2,106,0,0,0,0,0,0,299.9950706375709,299.5244700898004,5884.910163733332,HDF
2807,2808,M17667,M,1452,41.9,109,0,0,0,0,0,0,299.895083570044,299.5244700898004,6371.0188564,No Failure
2808,2809,L49988,L,1471,41.8,111,0,0,0,0,0,0,299.895083570044,299.5244700898004,6438.981920066665,No Failure
2809,2810,L49989,L,1598,34.6,113,0,0,0,0,0,0,299.895083570044,299.4570725743233,5790.0341457333325,No Failure
2810,2811,L49990,L,1772,24.8,115,0,0,0,0,0,0,299.7950965025171,299.3896750588464,4601.968583466666,No Failure
2811,2812,L49991,L,1761,25.6,117,0,0,0,0,0,0,299.895083570044,299.4570725743233,4720.9301248,No Failure
2812,2813,M17672,M,1413,40.7,120,0,0,0,0,0,0,299.9950706375709,299.5244700898004,6022.333782300001,No Failure
2813,2814,L49993,L,1887,22.6,122,0,0,0,0,0,0,299.9950706375709,299.5244700898004,4465.8958486,No Failure
2814,2815,L49994,L,1395,56.5,124,0,0,0,0,0,0,299.9950706375709,299.5244700898004,8253.7423275,No Failure
2815,2816,M17675,M,1569,31.6,127,0,0,0,0,0,0,300.0950577050979,299.59186760527734,5192.0429612,No Failure
2816,2817,L49996,L,1434,47.3,129,0,0,0,0,0,0,300.0950577050979,299.59186760527734,7102.9464946,No Failure
2817,2818,L49997,L,1417,41.1,131,0,0,0,0,0,0,300.1950447726247,299.6592651207544,6098.7372511,No Failure
2818,2819,L49998,L,1729,28.4,133,0,0,0,0,0,0,300.1950447726247,299.6592651207544,5142.112624133333,No Failure
2819,2820,L49999,L,1356,51.1,135,0,0,0,0,0,0,300.1950447726247,299.6592651207544,7256.193254799999,HDF
2820,2821,L50000,L,1436,48.8,137,0,0,0,0,0,0,300.1950447726247,299.6592651207544,7338.419137066667,No Failure
2821,2822,M17681,M,1419,42.5,140,0,0,0,0,0,0,300.2950318401517,299.7266626362314,6315.381297499998,No Failure
2822,2823,L50002,L,1593,38.1,142,0,0,0,0,0,0,300.2950318401517,299.7266626362314,6355.782144899999,No Failure
2823,2824,M17683,M,1320,62.2,145,0,0,0,0,0,0,300.2950318401517,299.6592651207544,8597.903512,HDF
2824,2825,M17684,M,1448,42.4,148,0,0,0,0,0,0,300.2950318401517,299.6592651207544,6429.284878933333,No Failure
2825,2826,L50005,L,1470,33.5,150,0,0,0,0,0,0,300.2950318401517,299.59186760527734,5156.919985,No Failure
2826,2827,M17686,M,1612,33.1,153,0,0,0,0,0,0,300.2950318401517,299.59186760527734,5587.548198266668,No Failure
2827,2828,L50007,L,1412,51.6,155,0,0,0,0,0,0,300.39501890767855,299.59186760527734,7629.7911376,No Failure
2828,2829,M17688,M,1875,23.9,158,0,0,0,0,0,0,300.39501890767855,299.59186760527734,4692.750062499999,No Failure
2829,2830,L50009,L,1612,36.0,160,0,0,0,0,0,0,300.2950318401517,299.5244700898004,6077.091696,No Failure
2830,2831,M17690,M,1411,41.6,163,0,0,0,0,0,0,300.39501890767855,299.5244700898004,6146.793106133333,No Failure
2831,2832,M17691,M,1490,47.9,166,0,0,0,0,0,0,300.2950318401517,299.4570725743233,7473.947329666667,No Failure
2832,2833,M17692,M,1467,40.3,169,0,0,0,0,0,0,300.39501890767855,299.5244700898004,6191.037165299999,No Failure
2833,2834,L50013,L,1807,26.4,171,0,0,0,0,0,0,300.2950318401517,299.4570725743233,4995.630754399999,No Failure
2834,2835,L50014,L,1368,46.0,173,0,0,0,0,0,0,300.2950318401517,299.3896750588464,6589.799183999999,HDF
2835,2836,L50015,L,1572,32.0,175,0,0,0,0,0,0,300.2950318401517,299.4570725743233,5267.818111999999,No Failure
2836,2837,M17696,M,1458,44.3,178,0,0,0,0,0,0,300.2950318401517,299.3896750588464,6763.7804382,No Failure
2837,2838,L50017,L,1699,30.3,180,0,0,0,0,0,0,300.2950318401517,299.3896750588464,5390.9370241,No Failure
2838,2839,L50018,L,1478,39.5,182,0,0,0,0,0,0,300.2950318401517,299.5244700898004,6113.638859666667,No Failure
2839,2840,M17699,M,1362,42.1,185,0,0,0,0,0,0,300.39501890767855,299.59186760527734,6004.6466306,HDF
2840,2841,H32254,H,1487,38.9,190,0,0,0,0,0,0,300.39501890767855,299.59186760527734,6057.4358145666665,No Failure
2841,2842,L50021,L,1705,29.4,192,0,0,0,0,0,0,300.2950318401517,299.59186760527734,5249.282730999999,No Failure
2842,2843,L50022,L,1345,53.5,194,0,0,0,0,0,0,300.2950318401517,299.5244700898004,7535.365414166667,HDF
2843,2844,L50023,L,1532,40.2,196,0,0,0,0,0,0,300.2950318401517,299.4570725743233,6449.307279199999,No Failure
2844,2845,L50024,L,1650,35.2,198,0,0,0,0,0,0,300.2950318401517,299.4570725743233,6082.11824,No Failure
2845,2846,L50025,L,1398,54.4,200,0,0,0,0,0,0,300.2950318401517,299.4570725743233,7964.056313600001,TWF
2846,2847,L50026,L,1412,44.8,202,0,0,0,0,0,0,300.2950318401517,299.4570725743233,6624.314786133333,TWF
2847,2848,L50027,L,1525,39.6,204,0,0,0,0,0,0,300.39501890767855,299.5244700898004,6324.020670000001,TWF
2848,2849,M17708,M,1391,57.9,207,0,0,0,0,0,0,300.2950318401517,299.5244700898004,8434.006761699999,TWF
2849,2850,L50029,L,1766,28.2,209,0,0,0,0,0,0,300.39501890767855,299.5244700898004,5215.1650636,TWF
2850,2851,L50030,L,1671,35.0,211,0,0,0,0,0,0,300.39501890767855,299.5244700898004,6124.529705,TWF
2851,2852,L50031,L,1373,48.8,213,0,0,0,0,0,0,300.4950059752055,299.5244700898004,7016.468993866665,"TWF, HDF"
2852,2853,M17712,M,1347,50.1,216,0,0,0,0,0,0,300.4950059752055,299.59186760527734,7066.9752891,"TWF, HDF"
2853,2854,M17713,M,1539,39.1,219,0,0,0,0,0,0,300.4950059752055,299.5244700898004,6301.4954697,TWF
2854,2855,L50034,L,1470,40.8,221,0,0,0,0,0,0,300.4950059752055,299.5244700898004,6280.666727999999,TWF
2855,2856,L50035,L,1528,37.0,223,0,0,0,0,0,0,300.4950059752055,299.5244700898004,5920.431074666667,TWF
2856,2857,H32270,H,1471,45.2,228,0,0,0,0,0,0,300.4950059752055,299.5244700898004,6962.726860933332,TWF
2857,2858,M17717,M,1528,37.2,231,0,0,0,0,0,0,300.39501890767855,299.4570725743233,5952.4334048,TWF
2858,2859,L50038,L,1417,51.5,233,1,0,0,0,1,0,300.4950059752055,299.5244700898004,7641.970034833333,"TWF, OSF"
2859,2860,L50039,L,1549,43.4,235,0,0,0,0,0,0,300.5949930427324,299.59186760527734,7039.947143133332,TWF
2860,2861,H32274,H,1463,49.2,240,0,0,0,0,0,0,300.5949930427324,299.59186760527734,7537.6797188,TWF
2861,2862,L50041,L,1479,43.6,242,0,0,0,0,0,0,300.69498011025934,299.6592651207544,6752.784873200001,No Failure
2862,2863,L50042,L,1867,23.0,244,0,0,0,0,0,0,300.5949930427324,299.6592651207544,4496.767206333333,No Failure
2863,2864,L50043,L,1471,44.1,246,0,0,0,0,0,0,300.5949930427324,299.59186760527734,6793.279968299999,No Failure
2864,2865,H32278,H,1380,47.6,251,1,1,0,0,0,0,300.5949930427324,299.59186760527734,6878.825464,No Failure
2865,2866,H32279,H,1623,32.7,5,0,0,0,0,0,0,300.69498011025934,299.79406015170844,5557.6926213,No Failure
2866,2867,L50046,L,1997,20.7,7,0,0,0,0,0,0,300.79496717778625,299.79406015170844,4328.8911087,No Failure
2867,2868,H32281,H,1390,48.5,12,0,0,0,0,0,0,300.69498011025934,299.7266626362314,7059.676328333332,No Failure
2868,2869,L50048,L,1418,46.6,14,0,0,0,0,0,0,300.79496717778625,299.79406015170844,6919.749909733334,No Failure
2869,2870,L50049,L,1519,35.8,16,0,0,0,0,0,0,300.79496717778625,299.79406015170844,5694.676417266666,No Failure
2870,2871,M17730,M,1519,39.7,19,0,0,0,0,0,0,300.79496717778625,299.79406015170844,6315.046194566668,No Failure
2871,2872,M17731,M,1536,37.2,22,0,0,0,0,0,0,300.69498011025934,299.7266626362314,5983.5979776,No Failure
2872,2873,L50052,L,1680,28.7,24,0,0,0,0,0,0,300.79496717778625,299.7266626362314,5049.163447999999,No Failure
2873,2874,H32287,H,1555,37.9,29,0,0,0,0,0,0,300.5949930427324,299.59186760527734,6171.601195166666,No Failure
2874,2875,L50054,L,1471,49.6,31,0,0,0,0,0,0,300.5949930427324,299.6592651207544,7640.514431466666,No Failure
2875,2876,M17735,M,1877,23.8,34,0,0,0,0,0,0,300.4950059752055,299.59186760527734,4678.099781133334,No Failure
2876,2877,M17736,M,1578,30.5,37,0,0,0,0,0,0,300.4950059752055,299.5244700898004,5040.052836999999,No Failure
2877,2878,M17737,M,1655,32.1,40,0,0,0,0,0,0,300.4950059752055,299.59186760527734,5563.2846515,No Failure
2878,2879,H32292,H,1502,34.3,45,0,0,0,0,0,0,300.4950059752055,299.59186760527734,5395.0106191333325,No Failure
2879,2880,M17739,M,1367,63.2,48,1,0,0,1,0,0,300.5949930427324,299.59186760527734,9047.192769866666,"HDF, PWF"
2880,2881,L50060,L,1541,37.2,50,0,0,0,0,0,0,300.69498011025934,299.6592651207544,6003.075835600001,No Failure
2881,2882,M17741,M,1588,37.0,53,0,0,0,0,0,0,300.5949930427324,299.7266626362314,6152.9087346666665,No Failure
2882,2883,L50062,L,1684,32.8,55,0,0,0,0,0,0,300.5949930427324,299.7266626362314,5784.211732266665,No Failure
2883,2884,L50063,L,1437,40.0,57,0,0,0,0,0,0,300.5949930427324,299.6592651207544,6019.28644,No Failure
2884,2885,L50064,L,1409,42.4,59,0,0,0,0,0,0,300.5949930427324,299.7266626362314,6256.120438133333,No Failure
2885,2886,M17745,M,1320,49.9,62,0,0,0,0,0,0,300.4950059752055,299.6592651207544,6897.675004,HDF
2886,2887,H32300,H,1635,34.2,67,0,0,0,0,0,0,300.4950059752055,299.6592651207544,5855.609601000001,No Failure
2887,2888,M17747,M,1691,27.6,70,0,0,0,0,0,0,300.4950059752055,299.6592651207544,4887.4343948,No Failure
2888,2889,M17748,M,1365,50.0,73,0,0,0,0,0,0,300.5949930427324,299.7266626362314,7147.117249999999,HDF
2889,2890,M17749,M,1523,38.2,76,0,0,0,0,0,0,300.69498011025934,299.79406015170844,6092.443599133333,No Failure
2890,2891,L50070,L,1593,32.4,78,0,0,0,0,0,0,300.5949930427324,299.79406015170844,5404.917099599999,No Failure
2891,2892,L50071,L,1682,30.7,80,0,0,0,0,0,0,300.5949930427324,299.7266626362314,5407.4513155333325,No Failure
2892,2893,L50072,L,1329,54.3,82,0,0,0,0,0,0,300.69498011025934,299.7266626362314,7557.063329099999,HDF
2893,2894,M17753,M,1568,35.2,85,0,0,0,0,0,0,300.69498011025934,299.7266626362314,5779.855394133334,No Failure
2894,2895,L50074,L,1733,24.8,87,0,0,0,0,0,0,300.69498011025934,299.7266626362314,4500.683721866667,No Failure
2895,2896,M17755,M,1473,48.1,90,0,0,0,0,0,0,300.69498011025934,299.7266626362314,7419.524518900001,No Failure
2896,2897,M17756,M,1633,31.3,93,0,0,0,0,0,0,300.69498011025934,299.6592651207544,5352.5258503666655,No Failure
2897,2898,M17757,M,1530,40.2,96,0,0,0,0,0,0,300.5949930427324,299.6592651207544,6440.887818000001,No Failure
2898,2899,M17758,M,1550,40.2,99,0,0,0,0,0,0,300.5949930427324,299.6592651207544,6525.08243,No Failure
2899,2900,L50079,L,1410,40.6,101,0,0,0,0,0,0,300.5949930427324,299.59186760527734,5994.782038,No Failure
2900,2901,L50080,L,1574,33.5,103,0,0,0,0,0,0,300.4950059752055,299.5244700898004,5521.763303666667,No Failure
2901,2902,L50081,L,1425,40.3,105,0,0,0,0,0,0,300.5949930427324,299.59186760527734,6013.788657499998,No Failure
